20046,2024,1,1,0,4,6,-2,91
20046,2024,1,2,0,9,8,-1,89
20046,2024,1,3,0,5,7,-3,83
20046,2024,1,4,0,5,6,-2,83
20046,2024,1,5,0,0,5,-2,92
20046,2024,1,6,0,6,4,-1,100
20046,2024,1,7,0,4,8,-3,90
20046,2024,1,8,0,7,2,-2,83
20046,2024,1,9,0,1,0,-4,95
20046,2024,1,10,0,4,6,-1,93
20046,2024,1,11,0,0,8,-7,98
20046,2024,1,12,0,4,0,-6,88
20046,2024,1,13,0,2,7,-2,88
20046,2024,1,14,0,3,2,0,84
20046,2024,1,15,0,0,8,-7,83
20046,2024,1,16,0,3,7,-10,99
20046,2024,1,17,0,2,1,-9,89
20046,2024,1,18,0,3,1,-2,83
20046,2024,1,19,0,0,5,-3,99
20046,2024,1,20,0,0,6,-8,86
20046,2024,1,21,0,3,0,-1,92
20046,2024,1,22,0,7,2,0,86
20046,2024,1,23,0,4,9,-9,85
20046,2024,1,24,0,0,1,-8,99
20046,2024,1,25,0,8,9,-9,90
20046,2024,1,26,0,4,10,-7,83
20046,2024,1,27,0,3,4,-1,90
20046,2024,1,28,0,10,3,-4,89
20046,2024,1,29,0,2,3,-8,93
20046,2024,1,30,0,5,10,-5,100
20046,2024,1,31,0,2,1,-9,82
